Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,7.410170423241978e+27,7.409577257757525e+27,7.427147608825115e+25,7.26620471548037e+27,7.549468498906781e+27,1000
Middle Crust,1.2282613930031157e+27,1.2270996666927677e+27,2.8375809954063665e+25,1.1757035254886863e+27,1.2848913478350128e+27,1000
Lower Crust,2.6000707776250845e+26,2.5928572367996745e+26,1.5776682469642426e+25,2.2916047499876705e+26,2.9233564167733593e+26,1000
Mantle,1.4923952101849407e+26,1.4869974363631716e+26,2.2414103222550503e+25,1.0921364935937967e+26,1.963353400624692e+26,1000
Total in Each Cell,9.047678415026096e+27,9.046275800839935e+27,1.0246655748638934e+26,8.854281381439524e+27,9.242810122722959e+27,1000
