Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,3.455809910298541e+29,3.4132313739930156e+29,4.874283085227953e+28,2.6361243113664633e+29,4.496774781484659e+29,1000
Middle Crust,2.742233270338298e+28,2.4834967526793303e+28,1.1949037944130559e+28,1.2198520583173692e+28,5.986043103010828e+28,1000
Lower Crust,4.278842267116942e+27,2.4364042126013007e+27,5.74231988425276e+27,8.321074137734005e+26,2.020810743672901e+28,1000
Mantle,1.798409219418658e+27,4.8547668233825695e+26,5.684218186298382e+27,8.038495939339825e+25,1.2426521821911447e+28,1000
Total in Each Cell,3.7908057521977265e+29,3.726897396773467e+29,5.621762674950616e+28,2.848561456259428e+29,5.002348635865294e+29,1000
