Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,4.2197011076214724e+27,4.2192864164473536e+27,4.128546016165294e+27,4.312652417286185e+27,4.761935852709502e+25
Middle Crust,5.578225192308563e+26,5.574738353111674e+26,5.2923310610374866e+26,5.885777714297716e+26,1.5129156309480663e+25
Lower Crust,1.0597418970601974e+26,1.0574835853575753e+26,8.98696026768502e+25,1.2320053060357296e+26,8.46740733065036e+24
Mantle,5.351175939223392e+25,5.268153996888548e+25,3.5588013445613346e+25,7.67864507150067e+25,1.0726385544057598e+25
Total,4.9370095759505826e+27,4.9363683981295186e+27,4.830409045404993e+27,5.044853760331233e+27,5.324328157561783e+25
