Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,4.174574210465768e+31,4.184886954875103e+31,3.7907158259898515e+31,4.539765772363309e+31,1.9288165940276518e+30
Middle Crust,5.529111852005365e+30,5.521980448556245e+30,4.393228785490796e+30,6.690711968654231e+30,5.997193767048716e+29
Lower Crust,1.0470756180505208e+30,1.02223984158383e+30,4.936863882181039e+29,1.7523750452408046e+30,3.207594732450393e+29
Mantle,5.257379008692095e+29,4.229975039832151e+29,2.996598278989504e+28,1.5719688371830753e+30,4.088688389958282e+29
Total,4.884766747558277e+31,4.900201196166012e+31,4.466269243730416e+31,5.271063010432388e+31,2.059119955530617e+30
