Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,1.8465451036331185e+29,1.839283225102403e+29,8.417902451928706e+27,1.7094367186138478e+29,2.0483908159765626e+29,1000
Middle Crust Cell Counts,1.372827639228913e+27,1.3726136876440302e+27,1.79690448696767e+25,1.339371774281408e+27,1.407470268070696e+27,1000
Lower Crust Cell Counts,1.0417257306153915e+25,1.042409510336578e+25,5.047059657133763e+23,9.455027648473189e+24,1.1384314987835535e+25,1000
Mantle Cell Counts,7.869041344572127e+21,1.1810495710263404e+21,5.00389721035173e+22,1.6675465496423563e+20,4.23527599675429e+22,1000
Total in Each Cell,1.8603776312888825e+29,1.8528565433997343e+29,8.418568088696231e+27,1.7233138768742644e+29,2.0622809120726024e+29,1000
