Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,1.4163520848093452e+28,1.4160734723153432e+28,9.757298163308416e+25,1.3977034735972632e+28,1.4365997306887297e+28,1000
Middle Crust Cell Counts,1.372827639228913e+27,1.3726136876440302e+27,1.79690448696767e+25,1.339371774281408e+27,1.407470268070696e+27,1000
Lower Crust Cell Counts,1.0417257306153915e+25,1.042409510336578e+25,5.047059657133763e+23,9.455027648473189e+24,1.1384314987835535e+25,1000
Mantle Cell Counts,1.9295835771235145e+23,5.2450825811827085e+22,5.372262806665365e+23,9.420134417202869e+21,1.2811659540675357e+24,1000
Total in Each Cell,1.5546958702986232e+28,1.5546787402774514e+28,1.007083728320281e+26,1.5356429589678597e+28,1.5751506722433702e+28,1000
