"X1","X2"
7.36522833850624,-0.649232607232548
7.33426896519243,-0.64629081890522
7.3747667418288,-0.677077688928959
7.33157768343179,-0.641451458426795
7.41396231869752,-0.683688347831815
7.34185776822221,-0.647857853477346
7.33853519621524,-0.63286944243312
7.39057221767433,-0.666770081648305
7.37276184446729,-0.666974779613536
7.34634923131601,-0.653312772466593
7.35038550874835,-0.648154765559073
7.35132196938182,-0.650294734565983
7.38149160264456,-0.665533095131698
7.3555843445251,-0.670057218214136
7.38115190420733,-0.636715662964529
7.39120978141478,-0.665755029725955
7.36759062872372,-0.654780909622613
7.35204524849744,-0.646661321055525
7.42091105114069,-0.682998470253919
7.36491810015541,-0.667662470970339
7.34459378710486,-0.652682938596651
7.3480217848177,-0.648015245635537
7.41554339798139,-0.672870010278108
7.40382230375377,-0.674734421920134
7.35359645036313,-0.646644332012565
7.34053795924149,-0.638063920425615
7.40133324540906,-0.679031465306992
7.44022416747172,-0.696824031275473
7.35464484220818,-0.631279181804351
7.34964660911498,-0.655547109777187
7.38513346914626,-0.656217530443915
7.37923464369831,-0.652056387744133
7.37091784514225,-0.654960051310455
7.39978485764751,-0.679444364607104
7.3422227248015,-0.631693932535649
7.26023794154376,-0.588355317554197
7.36437110751528,-0.637287778248437
7.34633209670236,-0.667520963288671
7.35242928733096,-0.641540766101671
7.36138285237308,-0.6601822013046
7.3153465421573,-0.644375429518841
7.37395987701152,-0.647232391264018
7.34136288758371,-0.650184997297642
7.35471506950028,-0.651660010802682
7.28447145905969,-0.614318082379043
7.27502386843109,-0.607779511329829
7.31742516683134,-0.648718541504712
7.36525042554624,-0.653665005782208
7.39694141771872,-0.697748698010523
7.35146693666267,-0.6315336704092
7.39665798602429,-0.678850857047052
7.3677061772956,-0.650032117905027
7.36084414236032,-0.672769340747111
7.29684487443799,-0.606048974295181
7.25698267337706,-0.627375238280361
7.36345088578019,-0.658276287889189
7.33867533607911,-0.656512236591803
7.28069552519729,-0.62973117302633
7.34289545703082,-0.641362973834938
7.34908597232136,-0.657182749158246
