"bootstrap","lambda_min","coef_Intercept","coef_Depth","coef_temperature"
1,0.00155257309455561,7.41227331744984,-0.768054747361578,0.010400660653979
2,0.00246128055956285,7.36698211737827,-0.732667688252853,0.00790355855780638
3,0.00458652639051623,7.40530700336728,-0.774191284362256,0.00918927837919502
4,0.00155890900771645,7.37093557039695,-0.730496373379894,0.0076090108937511
5,0.00162556026312799,7.46524655075866,-0.794544276262564,0.00951637755385119
6,0.00157472209499589,7.3832685061922,-0.736395924407244,0.00739966645749483
7,0.00150986614962682,7.38345876749229,-0.73503975969736,0.0089321927060848
8,0.00234621929803907,7.42647624446214,-0.764832355445481,0.00896313600505644
9,0.0036846889962977,7.40588802983538,-0.751339701878015,0.00767084290440133
10,0.00370137025323601,7.37675548099741,-0.718682218489798,0.00552979939660618
11,0.00152668101860061,7.39842607493393,-0.783192925684137,0.0122111712095447
12,0.00569630687000624,7.38478983736793,-0.746865704093548,0.00892488627964739
13,0.00160102928895482,7.42684461990792,-0.758335621609913,0.00767021868065664
14,0.00161698513812187,7.38747017470405,-0.740440987784158,0.0061770442017852
15,0.00154917819918387,7.41227857142408,-0.729086082840381,0.00842990868340142
16,0.00160886861635269,7.42229915118852,-0.737838114090381,0.00634159565996109
17,0.00229067209564223,7.4290451953859,-0.795923377298432,0.0119758797873565
18,0.0015337863031327,7.38943282299133,-0.769964876341268,0.0118862958048067
19,0.0016461223678808,7.46737854494844,-0.791681346154443,0.00961394402763777
20,0.00160766607785328,7.39929944336233,-0.765124181717357,0.00886524364167766
21,0.00254097346214392,7.38608417157952,-0.768398258753587,0.0103948047666419
22,0.00157933256535033,7.37606433337659,-0.715190252338505,0.00592006952058416
23,0.00162303331996323,7.45457117108876,-0.768341582805861,0.00837409178698667
24,0.00162645007419512,7.44079925933246,-0.758614484288085,0.00726651509202207
25,0.00513649479468021,7.39596322505913,-0.764214329271253,0.0106112197911173
26,0.00154071814268912,7.38656883269592,-0.746058862048211,0.00954862853436376
27,0.00351247909102994,7.4196670682971,-0.73568421506982,0.00519963628952474
28,0.00167092390150675,7.47687344138014,-0.77403789958195,0.00650900446260756
29,0.00243240698827148,7.40027554258419,-0.737855197320707,0.00924686019755991
30,0.00362291497429407,7.39506318308368,-0.754952999707215,0.00846097344798617
31,0.00159976032441499,7.42202487202163,-0.744897053842011,0.00782168196194871
32,0.00251253334745226,7.40637593895006,-0.745342969986562,0.00894192096040534
33,0.00516443225955133,7.40326110555472,-0.757343744545387,0.00990706384668586
34,0.0615921864390252,7.28373683561588,-0.60990787606363,0
35,0.00164981863310007,7.36939252503055,-0.71474348577568,0.00784341129261351
36,0.00202357872808364,7.29883242900836,-0.671626667781491,0.00710938484875408
37,0.0032718495657496,7.39784081084678,-0.721653856485949,0.00736026746595266
38,0.00158369169684822,7.38358663120285,-0.758991749759658,0.0082379064333017
