Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,4.309205862357156e+31,4.313750262682216e+31,3.967890676913962e+31,4.653542254657404e+31,1.7873630801834313e+30
Middle Crust,2.6969232185941235e+30,2.675391049033513e+30,2.0340738279012647e+30,3.459334088721658e+30,3.7381609962983375e+29
Lower Crust,2.912543066892781e+29,2.744793002858044e+29,7.223374842421263e+28,5.829964536081832e+29,1.3025223254949001e+29
Mantle,1.2891786423544196e+26,2.66762822536549e+21,4.436803701231584e+19,3.1687578087467646e+26,9.416203042494929e+26
Total,4.608036506671919e+31,4.610670175602554e+31,4.249557011104236e+31,4.9572915542111e+31,1.8419174385573434e+30
