dataset,method,n_paired_draws,low_vs_base_change_percent_mean,high_vs_base_change_percent_mean,high_low_range_percent_of_base_mean,high_low_fold_mean
without_shallow,stratified-log10,1000,-54.24088601192504,57.605975344779566,111.84686135670461,3.444281592359648
without_shallow,unstratified-log10,1000,-53.41670537966898,55.008076052635175,108.42478143230417,3.3276230366367434
without_shallow,stratified-power,1000,-49.731010338233894,41.287160427624435,91.01817076585832,2.8106535048242645
without_shallow,unstratified-power,1000,-60.84398489679559,72.027142552768,132.8711274495636,4.393530966929916
with_shallow,stratified-log10,1000,-50.81649905389425,32.082385523719225,82.89888457761347,2.685985871926706
with_shallow,unstratified-log10,1000,-53.393455333019084,55.096293574959724,108.48974890797881,3.329245479312348
with_shallow,stratified-power,1000,-3.244269031758242,1.2102625781126954,4.454531609870937,1.0461381891068369
with_shallow,unstratified-power,1000,-39.02143745787493,31.603782923190018,70.62522038106495,2.170147270832069
