Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,3.1421443358125634e+27,3.142230358417376e+27,2.7435433590437657e+25,3.089829184623072e+27,3.1950796184178194e+27,1000
Middle Crust,4.9517023629736684e+25,4.94641220012773e+25,2.0771381112682402e+24,4.555868097276316e+25,5.3591486823744856e+25,1000
Lower Crust,0.0,0.0,0.0,0.0,0.0,1000
Mantle,0.0,0.0,0.0,0.0,0.0,1000
Total in Each Cell,3.1916613594423e+27,3.191605197145937e+27,2.7880333524068113e+25,3.138417339182573e+27,3.24595381776001e+27,1000
