Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,5.751873272378094e+27,5.751341572480119e+27,5.634819166714857e+27,5.86646328939952e+27,5.9059259549598185e+25
Middle Crust,1.1342237727408416e+27,1.1348387981710504e+27,1.09812276011335e+27,1.1731311999789674e+27,1.9273258519327796e+25
Lower Crust,2.1356626772913752e+26,2.1338481683529203e+26,1.930941238435313e+26,2.348956042623152e+26,1.088406385594105e+25
Mantle,1.1979377281570204e+26,1.1975041308513588e+26,9.805686362201483e+25,1.4440224374099178e+26,1.1740352532793744e+25
Total,7.219457085663773e+27,7.218127807791011e+27,7.091204689185966e+27,7.347113066861909e+27,6.3853942731833095e+25
