RTP-BZ-400-05,Volcanos,YoungRift,LithoRef18-1deg,gradient,Trench,TopoI1,Transform,MeanCurvature-TopoIso-corr,Susceptibility-Sz-LitMod-Aus17-Afr,Ridge,binned-SL2013-2deg,lon,lat,Depth2Moho,VP1,VP2,VP3,VS1,VS2,VS3,Hcc,is_land,maxdepth,maxdepth_sd,volume
3.289054989815,1347.82678223,378.700012207,205.923171997,0.285,3130.0,461.921844482,2999.0,0.0031361514772292,0.0124993148492687,2999.0,,47.5,-81.5,39.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,40.3071,True,14.16752400990099,12.141988894029998,25950.30337709316
5.791023135185,16.0269680023,3.6099998951,58.6463851929,35.7,3090.0,-1019.628479,2891.0,-0.0058774401992559,0.0156173200230062,2221.0,4.0,-120.5,-80.5,32.2,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,27.3161,True,4.749333603351954,1.1483304935925842,9713.780837682718
1.00871551037025,1334.79418945,351.899993896,204.658782959,31.7,3641.0,1873.08203125,3238.0,0.0253456659614999,0.0112239482114,3003.0,,76.5,-80.5,41.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,42.8712,True,4.692711949685535,1.2773620954867293,9597.972941182335
6.210468530655,36.140411377,-65.3600006104,57.2721328735,42.8,2902.0,-1591.13952637,2721.0,-0.0023527998477224,0.0164494755445,2295.0,,-112.5,-79.5,31.7,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,25.4746,True,3.923163445512821,0.7915828154862234,8859.635215253216
-1.954496473075,1204.71496582,278.200012207,191.440200806,22.2,4237.0,-263.72543335,2639.0,0.0002051716113783,0.0122211396228375,2385.0,,106.5,-78.5,38.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,36.6271,True,6.5604345852017945,2.5465077026684635,16208.182350782765
-5.871512532235,67.5848846436,-21.3999996185,74.5147705078,36.3777777777778,4545.0,384.780975342,1866.0,-0.01291628811508,0.0115378437330937,1587.0,,160.5,-78.5,37.1,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,37.5023,True,4.009516426096555,0.9514388292982816,9905.894575829052
-6.0627657175075,30.4875335693,-52.9500007629,58.5175628662,37.4625,4537.0,2050.38476562,1865.0,-0.0085041756182912,0.0132499263854625,1561.0,,162.5,-78.5,33.4,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,35.5571,True,3.9420599667221294,0.9084185310335243,9739.23692836998
-6.1226125955575,22.9599761963,-48.3699989319,53.7728271484,39.6428571428571,4523.0,2400.4519043,1865.0,-0.0068242171593012,0.0149343133089249,1549.0,5.0,163.5,-78.5,31.8,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,34.3336,True,3.74237016894321,0.8150887608792496,9245.884146026507
-6.161880254745,31.0064334869,-28.0200004578,49.712562561,51.9,4509.0,489.735046387,1866.0,-0.0057955443486568,0.0151803715852937,1537.0,,164.5,-78.5,32.3,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,32.7461,True,2.8705966622596155,0.47784393670229297,7092.084152839864
-6.186212539675,38.1237716675,25.7999992371,47.1155204773,48.2330769230769,4480.0,-27.2214851379,1869.0,-0.0062608124129468,0.0164093152852687,1516.0,,166.5,-78.5,30.1,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,29.5121,True,3.1148194302754932,0.5578348970286965,7695.459905894873
-0.902112960815,1809.55688477,478.299987793,217.108276367,23.0,2960.0,770.34967041,2779.0,-0.0016060755401848,0.0125421396223812,2729.0,,39.5,-77.5,40.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,40.9964,True,6.145134872835498,2.3026964268079686,16482.176675731112
-5.2153621912,42.0216674805,-35.1100006104,78.8308944702,26.4421052631579,4640.0,1473.34814453,1754.0,-0.0126190414279719,0.0110232884762812,1484.0,,161.5,-77.5,36.0,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,37.1647,True,5.572779873091412,1.8174135812970573,14947.034417304625
-5.363355875015,21.2415122986,-37.6800003052,62.3460006714,32.3,4610.0,490.741241455,1754.0,-0.0088829929567823,0.0144579162006187,1456.0,,163.5,-77.5,31.4,6.022930001,6.375132233,6.757653375,3.40913683,3.652534983,3.831068228,31.7608,True,4.608341114969136,1.2311666879991618,12360.264503667355
