Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,7.5237769002599e+27,7.522588633073163e+27,6.236725553770404e+25,7.405199218477576e+27,7.644915622541798e+27,1000
Middle Crust,5.6073165430496236e+26,5.604676827672028e+26,1.4606221557716642e+25,5.320420647484359e+26,5.896233719162488e+26,1000
Lower Crust,6.668246715867405e+25,6.646583631189983e+25,5.125714385011523e+24,5.735833647478319e+25,7.696171497080678e+25,1000
Mantle,2.907397781715134e+22,1.0138933171026225e+22,3.732689721423072e+22,1.4033772763820455e+20,1.0576085702356387e+23,1000
Total in Each Cell,8.151220095701353e+27,8.150660927376996e+27,6.809343404512497e+25,8.020475337830846e+27,8.279284984297923e+27,1000
