Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,5.6913081967099905e+31,5.698312084640082e+31,5.208563874628674e+31,6.177506642071035e+31,2.4522554741695503e+30
Middle Crust,1.1213580175550964e+31,1.119495527408664e+31,9.65713450788311e+30,1.3115255838988815e+31,8.89192514259382e+29
Lower Crust,2.1274817415773647e+30,2.0947216809972234e+30,1.2729421686377355e+30,3.1174221730341914e+30,4.5727104578230294e+29
Mantle,1.2003093048930561e+30,1.1504666672401665e+30,3.316140468118796e+29,2.3450224851672768e+30,5.2656338216031345e+29
Total,7.145445318912129e+31,7.148065210981703e+31,6.596841821800306e+31,7.70233885779161e+31,2.710541957236923e+30
