"X1","X2"
7.00585500446825,-0.0260329764153264
6.95613280634662,-0.0264614731541954
7.00602006880735,-0.0289216049734393
6.95326708164867,-0.0261507109870743
7.0302099076295,-0.0283290166489788
7.04177136378275,-0.0305120262908604
7.00810415182921,-0.0268869747177227
7.04691655231631,-0.0285824241976102
6.97057471669593,-0.0283884716576328
6.98878458554464,-0.0268229248992447
7.00918979977657,-0.0267566101068115
6.98123663266321,-0.0259886170463611
6.96970894495036,-0.026538848871997
6.96626276593497,-0.0279326425988312
7.01046096686808,-0.0259119777910497
7.00985265142634,-0.0282718796112357
7.00027829230556,-0.0254352359289783
6.98688377947639,-0.0271161656752819
7.00042826866996,-0.0264685655317844
6.96386908035706,-0.026361527216488
6.99387928831536,-0.0267136291519264
7.00872111099425,-0.0275721722543855
6.98376076724589,-0.0270570322537631
7.04739824119447,-0.0286493304320733
6.96070306112327,-0.0252082178333183
6.97413872869748,-0.0271491871902656
7.0527754673269,-0.0299021927000594
7.0241495457867,-0.0289513697271954
7.00295312511151,-0.0267327973912536
6.96003683835717,-0.0268580902504319
7.00411949097728,-0.0263592420464179
7.03658400721126,-0.0270295322970862
6.98588412233732,-0.0258718077090831
7.00673747697912,-0.0275233506540035
6.99425002012986,-0.0261565206681747
6.9537771802785,-0.0252184317203895
6.99743671102953,-0.0254458276620557
6.93475708006156,-0.0254162668219914
6.96714373900622,-0.0255933920107263
6.99351459746758,-0.027589815798069
6.99319138238082,-0.0284661737124942
6.99025212008153,-0.0272649827360791
6.96962960545301,-0.0259957378474616
6.96740849644386,-0.0264757205906936
6.9486135272069,-0.025284923630724
6.97648752296828,-0.0248381996260049
6.97603456270775,-0.0266176141674888
6.97956637609736,-0.0270104912390577
6.98666169335885,-0.0260995491900473
6.9547854571555,-0.0257306602273281
7.0479750489458,-0.0286570416964271
7.00388694925832,-0.0266792970192692
6.96061946694189,-0.0265451909915519
6.94722099155951,-0.0250021644549286
6.92075409149164,-0.0265976458708965
7.00197530180255,-0.0282645373080146
7.01905357649496,-0.0300636418910013
6.94154920056808,-0.0261183953578112
6.97976909079275,-0.026530200456176
6.98560749833879,-0.0270995318877657
7.09819315189632,-0.0302503471789403
6.99262612495594,-0.0258658039169809
7.10036908389011,-0.0323297236409369
6.97282115392363,-0.0270972385297064
6.96923698731515,-0.0262604812228812
6.96114245350423,-0.0271630695838934
6.98173474177911,-0.0259975351850579
6.98718808297108,-0.0271501719663723
6.99287745984197,-0.0271797948341869
6.99265283367289,-0.0265327824610438
6.97267677754677,-0.0261429409408164
6.96071712999323,-0.025632567806383
6.99913531481785,-0.0273861406381193
7.03862539321448,-0.0278929224064925
6.97002219980193,-0.0260785864142132
6.96272710583481,-0.026380460371411
6.91896117043873,-0.023766252645382
7.0272628060639,-0.0277055910448404
7.00453684261684,-0.0279282717527937
6.96980463788764,-0.0267699675206524
7.0411600653239,-0.0304940788108293
7.03066161509845,-0.0274466398966494
7.01363252380545,-0.0265473103093843
7.04801592900877,-0.0295478488653006
7.06061543364276,-0.029294628212886
7.00925992171869,-0.0266338215054087
7.01670392311367,-0.0277021379398054
6.90927428677769,-0.0239865996387227
6.96479438455759,-0.0266565175005399
7.01853473092096,-0.0281000178967227
7.00735121908749,-0.0261789615915544
