"V1","V2"
5.707962355139e+29,0.49144300978207
5.9442200295323e+29,0.446920441121078
5.46190793819934e+29,0.489999937552597
4.75183426099478e+29,0.269110599082552
5.21178036713452e+29,0.401282284214386
5.4553969193064e+29,0.186449751098716
6.75570317909697e+29,1.24086979214859
5.79130425620737e+29,0.158356250501901
5.60581279662482e+29,0.954765935734608
4.93543647753167e+29,0.0100000037152097
5.19930001051044e+29,0.249999953328898
5.99172046173378e+29,0.089999958865787
NA,NA
4.4401577612882e+29,0.0400000122464726
5.46959839426325e+29,0.216119735236089
NA,NA
5.66260061945575e+29,0.269110655942931
6.04936462641713e+29,0.155289634390944
5.32322556093761e+29,1.9599999100552
NA,NA
6.48672276674011e+29,0.0906190582894566
NA,NA
5.75318921012448e+29,0.714190697235939
NA,NA
6.48748327086128e+29,0.160000031534354
6.07006595069809e+29,0.0400000034913933
5.19997425384226e+29,0.699438026512681
5.00734238789464e+29,1.27863690366257
6.2181695420653e+29,0.239816258265699
5.6429879911167e+29,0.489999995599597
5.16159946004639e+29,0.130847027349971
5.50053526222639e+29,1.96000018315888
5.62623922037097e+29,0.219512005175898
NA,NA
6.2179623736671e+29,0.134345373055214
5.88664873101697e+29,1.6420742229945
NA,NA
4.40858455659937e+29,0.0893830631316376
5.90469910217387e+29,1.44000017766563
5.72503027518581e+29,1.38319064962718
NA,NA
5.75541556557897e+29,0.307234310650728
5.22597313317149e+29,0.0435865523333325
5.32351413944168e+29,0.384138104900669
5.78884664601247e+29,0.00999999918626758
5.9093034596689e+29,0.665000410824219
NA,NA
NA,NA
4.69829877735434e+29,0.17340846003228
5.0649681368015e+29,0.216119735236089
5.00669513269351e+29,0.360000031057105
5.70793946170485e+29,0.0848126441353769
5.06632790831778e+29,0.0983569542937274
NA,NA
5.77593027179844e+29,0.0900000596457403
4.38640137598967e+29,0.640000025347457
6.69380932151187e+29,1.41296106092576
5.25321044862697e+29,0.640000055375046
5.0955476593296e+29,0.0484000237937217
NA,NA
NA,NA
6.00799419298497e+29,1.8065190496117
5.77153891357477e+29,0.640000084381517
5.07508199067528e+29,0.00498168804732451
8.25918694913657e+29,0.13504970075869
4.95514525378278e+29,1.43999987342773
NA,NA
NA,NA
6.25687633365079e+29,0.00999998774755751
NA,NA
NA,NA
5.01226654470215e+29,0.00799243352796983
6.01039450300765e+29,0.3600000003132
5.51914798438737e+29,0.752540781080815
NA,NA
5.22029665614932e+29,0.142220441228162
4.98730314215578e+29,0.714190697235939
NA,NA
NA,NA
5.19566943200741e+29,0.324757866618586
4.7925441805569e+29,0.376926433124831
5.75564089153624e+29,0.160000007631181
6.35935485082344e+29,0.463586383855062
NA,NA
4.76480569758076e+29,0.0590674931092416
NA,NA
NA,NA
6.28984042481754e+29,0.360000001110621
NA,NA
5.71711835543031e+29,0.0646392684227965
5.07519792567224e+29,0.712450912684048
6.36218077373018e+29,0.159999974301487
NA,NA
6.21202533657442e+29,0.209193899900067
5.40383708462404e+29,0.30563424230941
4.81684804208263e+29,0.274480365544419
4.67794393491317e+29,0.506316397826019
5.51938809518337e+29,0.160000020056342
NA,NA
5.47413123618848e+29,0.192082487018766
4.66440436429601e+29,0.0900000604081131
4.44981725112069e+29,0.0400000012335055
6.22020864219112e+29,0.159999974301487
NA,NA
6.55731027265665e+29,0.0900000020426992
4.99567318173318e+29,0.296010036883134
5.84408785091111e+29,0.619536001695294
NA,NA
NA,NA
5.03902215015368e+29,0.0399994964776759
5.86196801336607e+29,0.0280532643228471
NA,NA
5.23794206480058e+29,0.301599979264756
5.39691564429603e+29,0.160000007631181
5.37483193651838e+29,0.000314309177937274
5.80301817708775e+29,0.0906190582894566
5.5620353869923e+29,0.134345373055214
NA,NA
5.24339633415372e+29,1.24086979214859
6.19039957281001e+29,0.0175586196689679
5.75077844165305e+29,0.160000031534354
5.53743232723315e+29,0.192082487018766
NA,NA
5.19639637101166e+29,0.249999963808197
5.61651620710311e+29,0.0900000174834544
NA,NA
5.63082488968619e+29,0.302500011634074
5.93235048942127e+29,0.249999963808197
6.00449726254453e+29,0.143778439452223
NA,NA
5.24667192676474e+29,0.937383870763601
5.48941814610196e+29,0.0535432144846477
NA,NA
5.57812846489529e+29,0.00626966972565455
NA,NA
6.40351948102515e+29,0.0243147738125141
NA,NA
6.08615119734777e+29,0.936038998025841
5.04300729185153e+29,0.641648979183531
5.54550082475361e+29,0.00999999970458202
5.63171752382566e+29,0.439247943455262
6.32423451852823e+29,0.178949602068175
NA,NA
5.10723485893879e+29,0.815571524605109
NA,NA
NA,NA
4.74289177619441e+29,1.69000007576163
5.49672712910487e+29,2.35467833697845e-05
5.34721179735196e+29,0.0900000020426992
4.29301587600301e+29,0.347894161632989
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
5.26170094118174e+29,0.810000051363505
5.45519836153173e+29,0.250000005470314
5.49005420022873e+29,1.11934695986964
5.16518903084579e+29,0.130847027349971
5.21971171151595e+29,1.43999202304202
4.74952266880992e+29,1.01876728859871
5.75109420756624e+29,1.36303543891037
5.04623383418196e+29,0.250000003464853
5.79672799991148e+29,0.389262113178751
NA,NA
5.23018952019691e+29,0.0900000596457403
4.97450986915357e+29,0.489999950466166
NA,NA
4.3968781424881e+29,0.0400000059666575
3.9740300204864e+29,0.248971063165527
5.00287963273183e+29,0.0239946172074248
NA,NA
6.27957050142112e+29,0.359999963931209
5.1242977226183e+29,0.00903602491277318
NA,NA
4.54261430465417e+29,0.170022485531774
5.46515746647932e+29,1.63046420167969
5.45298079170788e+29,1.9599999992692
5.1699761026632e+29,0.159999993557369
6.76906238853478e+29,0.723537355549382
4.79077205884859e+29,0.000571627992324627
NA,NA
5.59594880155548e+29,0.463586383855062
5.03380962282808e+29,0.360000003387317
5.74117922731018e+29,0.360000038547771
NA,NA
6.03213933996311e+29,0.211367449886969
NA,NA
6.02187479332889e+29,0.394872647409775
5.60623008769929e+29,1.74239920165028
6.22312238655225e+29,0.158356250501901
5.05409902634491e+29,0.490000004035004
NA,NA
5.80759672786005e+29,0.216119735236089
5.83023517346998e+29,0.296010036883134
4.82484383872066e+29,0.0900000272802552
5.62237183959656e+29,1.95999473444557
5.75216296519878e+29,1.72559520023773
NA,NA
4.92851226422626e+29,0.422499921492119
6.06126260652768e+29,0.00999998774755751
5.21068242099791e+29,9.54813693943564e-06
5.50123595005199e+29,0.960399823207589
4.41213913035681e+29,0.24999999479104
4.68224121592029e+29,0.0399999965546164
5.66680360328803e+29,1.24410247848389
5.63395837478545e+29,0.113732280092113
5.50266433357135e+29,0.245896962702177
NA,NA
6.95983446843934e+29,0.250000002321975
5.69041887936453e+29,1.6420742229945
6.31299851475631e+29,0.0404130607925066
6.32704699601456e+29,1
6.35497551111925e+29,0.296010036883134
5.79992442570573e+29,0.0395890604486186
6.0831430270892e+29,0.0906190582894566
NA,NA
6.51573590835298e+29,1.21000047987295
5.35039046273142e+29,0.53345270737643
5.99992447802234e+29,0.674351861514126
6.2461338938552e+29,0.360000031057105
4.84836408768686e+29,0.227644691705265
NA,NA
6.03119728602382e+29,1.55026904925442
4.45964925692704e+29,0.61465076576923
NA,NA
NA,NA
5.22195743712174e+29,0.10080058179929
NA,NA
6.93998239765107e+29,0.209193899900067
6.97519467718089e+29,0.00105683139594004
NA,NA
NA,NA
3.94651658107126e+29,0.00999999918626758
NA,NA
6.21395022864142e+29,1.96000001132751
4.81126132686698e+29,0.24999999479104
5.66784787305901e+29,0.639999920113165
NA,NA
5.34406222996553e+29,1.43999987342773
5.62979584769727e+29,0.233646754111776
5.46940146350624e+29,0.204573183187167
NA,NA
4.42930544424134e+29,0.489999476286206
NA,NA
4.64167676896899e+29,0.75467632415024
4.63432793663419e+29,1.02808112993801
6.50239398886836e+29,0.360000038547771
NA,NA
NA,NA
5.76644502097766e+29,1.06088459297837e-06
7.16877092027717e+29,0.109878271073958
NA,NA
5.89069449661598e+29,1.00000013059773
4.61620407395855e+29,1.79546080803845
5.50370708909215e+29,0.490000095979846
6.39684148558395e+29,0.0806541008266138
4.41739632241846e+29,1.9462985116987
NA,NA
6.11764012478143e+29,1.11934695986964
NA,NA
4.94516573311687e+29,0.640000002377101
5.78362941606861e+29,1.31360947416766
5.72404304728378e+29,0.207873948182582
5.50800741314818e+29,1.11934695986964
5.56495643588955e+29,0.815571524605109
4.09924952549466e+29,0.359999939112283
5.96467233129453e+29,0.712450912684048
5.55743152066298e+29,0.0395890648023321
NA,NA
5.84808900869799e+29,0.109878271073958
4.96630340598468e+29,0.219734764674827
NA,NA
6.23129014778466e+29,0.714190697235939
6.317271627323e+29,0.211595900060054
NA,NA
5.97575955279974e+29,1.36303543891037
4.3364356117748e+29,1.40201697776411
NA,NA
6.22742990506759e+29,1.69536022950164
NA,NA
5.00625429190744e+29,0.0243147738125141
7.78223683585572e+29,0.071551479604938
NA,NA
NA,NA
4.70090620786934e+29,0.135406914515744
5.09757869778663e+29,0.489999959205276
5.66813998877556e+29,0.250000168552353
NA,NA
5.95273552287277e+29,7.69817477538253e-05
5.70201954382973e+29,7.69817477538253e-05
5.75839499101363e+29,0.0400000008263261
4.61059768746209e+29,1.74554124097342
4.2953631566928e+29,1
NA,NA
4.27405267013135e+29,0.00999999893520317
NA,NA
4.87137256687028e+29,0.00999999709040775
4.92974052627402e+29,0.0173707778579499
NA,NA
5.60220660325704e+29,1.43999991550343
6.13403594849444e+29,0.978130129873011
NA,NA
5.67533412718897e+29,0.0212452448684692
4.97902404343899e+29,0.111201213039628
5.32361039325043e+29,0.24999999479104
NA,NA
5.87923577894131e+29,0.0282864849601387
NA,NA
4.88310710027779e+29,0.445544358919382
5.2104876565634e+29,1.67930503352942
5.03112042452002e+29,0.00999999878517546
6.34404677980414e+29,0.30136808072396
5.77388851192607e+29,0.179698620137078
5.06581743052528e+29,0.103825273898824
5.92922557272577e+29,1.44000000495796
4.85838761551878e+29,0.00194199205072582
4.59867475110897e+29,0.00939155062122163
5.965320940121e+29,0.359999963931209
4.47221896946724e+29,0.619536001695294
6.61406704521787e+29,1.69267904961742
NA,NA
5.9543818619603e+29,0.00894085748721991
6.58287984476643e+29,0.502360471322702
NA,NA
5.33460858928886e+29,0.0239946172074248
5.10299193437062e+29,0.0178326400487094
5.2092116838119e+29,0.0960905999863593
NA,NA
6.48828739603266e+29,0.98179684250784
7.26141471278732e+29,0.359999963931209
4.90155610023438e+29,0.204573183187167
6.32021746582067e+29,1.9599999992692
NA,NA
5.45273094113614e+29,0.500901468531769
NA,NA
6.44767252511698e+29,0.00999999918626758
