"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
8.00631245396957,-0.814671936595841,0.30416127352255,7.78201029242064,-0.865611947007017,0.439915532287254,7.58677141519554,-0.509046018767697,0.212939416384327,7.63563217156647,-0.566593631761614,0.189582737037468,8.16278649221452,-1.83923559021885,0.480959306288162
8.09437801631319,-0.897973476023294,0.251726855629188,7.92312762822904,-0.940044661496413,0.501210330815182,7.42286829223788,-0.442567653556291,0.171383638862276,7.39862690387834,-0.492013135414986,0.160417785465941,8.07608281292921,-1.75992898961127,0.479841012377534
8.25420633244251,-0.984890307387941,0.43414353578788,7.88900590118733,-0.928757734659056,0.507327023374954,7.48212425614227,-0.483316954255388,0.174434865996098,7.29402689205037,-0.418735996086522,0.110519865726303,8.11436412897094,-1.79360781375878,0.485387482019453
8.1266132182315,-0.911852912652368,0.311474161532301,7.85083887155202,-0.883930718209457,0.439645080375332,7.51273751199764,-0.525194438148904,0.203406845895034,7.46220980142887,-0.47501700817896,0.141975020229078,8.01067984758602,-1.7165952020045,0.476577304603862
8.17476478324774,-0.938128379342852,0.3518542031065,7.90727179334645,-0.928100717411771,0.493183050417366,7.55232779069098,-0.519490208541852,0.207211888680084,7.37053241781779,-0.439995734868547,0.109004598599223,8.3146775509933,-1.93335519956894,0.509870001628732
8.29044159342591,-0.964636590757609,0.35623900097148,7.75026161873523,-0.878291087692357,0.443540191778868,7.50186079587579,-0.491200589384707,0.190917130745482,7.49878510359561,-0.483832857733223,0.161189513650325,8.12523812718453,-1.7917551895757,0.455186121514477
8.14569466018684,-0.910312587332256,0.260856568914546,7.85532140405095,-0.898765300747089,0.486789251096571,7.47460543295386,-0.442924153497134,0.180071530158791,7.37958545733182,-0.439467545899622,0.114416451329079,8.247628571921,-1.85481953130324,0.485771614938211
8.40332027948533,-1.07840958774107,0.448335188240246,7.83468225657844,-0.894132481277947,0.493160914795403,7.57608054703534,-0.504843925547247,0.193393164858454,7.4894044006357,-0.482171553308416,0.187096388744664,8.02237637436544,-1.75038088355849,0.451478817535919
8.40134545861568,-1.05232176877468,0.430713780451215,7.83650098829114,-0.901161798956374,0.463914206288372,7.45521754555283,-0.463729554098445,0.177603713119068,7.65646525782009,-0.591405049259284,0.215983816415887,8.06233176088695,-1.73454623710773,0.47412738280465
7.99155606472782,-0.792331033923315,0.245320362334889,7.68833313724851,-0.828293055601356,0.429727515271044,7.51248853169655,-0.511040796628302,0.218540930332016,7.53380625762758,-0.541551184228918,0.19092234036457,8.1672804296713,-1.80961403513541,0.499469918508647
8.27987214591638,-1.01475247915345,0.413236226199025,7.76764429541255,-0.842016313622981,0.438023119988067,7.61549288067248,-0.547291070113247,0.248746117888879,7.30947679591489,-0.398395540300954,0.0975194964370428,8.24300860349116,-1.88408131570884,0.492773403578703
8.03055481138548,-0.870595832082328,0.256601884468409,7.76019948734061,-0.882780396551003,0.442783612757532,7.5550202950424,-0.488424126621249,0.19830967084213,7.43304546066669,-0.475516000950253,0.145631268743835,8.29322771360041,-1.92994788843947,0.514334920998157
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.13625493240688,-0.95113331020429,0.308291508943875,7.85797690362669,-0.931110971516489,0.478337551045298,7.55276222810674,-0.545860054343765,0.212403935293461,7.3489150288387,-0.453447313187032,0.134122103960259,8.20316597738869,-1.81315664418186,0.455112976408477
8.15588069446056,-0.924612444937455,0.333134979858858,7.91081690141155,-0.896248880818051,0.473412221794694,7.57724131972326,-0.520820953337587,0.221566410716421,7.39983626247638,-0.447733614705471,0.125592337745503,8.11441577725222,-1.78905843808529,0.472215885483993
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.19252934664759,-0.948141592407618,0.346677299286104,7.79199995005002,-0.873751633042204,0.452094588879747,7.60341279149549,-0.517404449785373,0.210687641465856,7.53080430471885,-0.511430550954673,0.162109326750039,8.25340625539417,-1.91861220664346,0.519274331322089
8.16404918965465,-0.907191142955554,0.330235969025936,7.77827223837284,-0.881914719922341,0.472625971400052,7.46739595123634,-0.456024931875032,0.168870144189287,7.37563716512891,-0.468321048085423,0.142405036654385,8.14448906800222,-1.81429585659439,0.488069967792822
