Numb	Lon	Lat	Hcc	Sed	Hc	Type	DLy1	DLy2	DLy3	TLy1	TLy2	TLy3	VP1	VP2	VP3	VS1	VS2	VS3	VPN	VSN	RHO1	RHO2	RHO3	RHON
149	-31.5	89.5	7.5358	2.4605	9.9963	SOCE	4.9473	7.4342	9.9963	2.4868	2.4868	2.5622	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
150	-30.5	89.5	7.551	2.4477	9.9987	SOCE	4.9395	7.4313	9.9987	2.4918	2.4918	2.5673	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
151	-29.5	89.5	7.5664	2.434	10.0004	SOCE	4.9309	7.4278	10.0004	2.4969	2.4969	2.5726	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
152	-28.5	89.5	7.5789	2.4227	10.0016	SOCE	4.9237	7.4248	10.0016	2.501	2.501	2.5768	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
153	-27.5	89.5	7.589	2.4134	10.0024	SOCE	4.9178	7.4221	10.0024	2.5044	2.5044	2.5802	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
154	-26.5	89.5	7.5969	2.4061	10.003	SOCE	4.9131	7.4201	10.003	2.507	2.507	2.5829	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
155	-25.5	89.5	7.6014	2.4021	10.0036	SOCE	4.9106	7.4191	10.0036	2.5085	2.5085	2.5845	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
156	-24.5	89.5	7.6037	2.4006	10.0042	SOCE	4.9098	7.419	10.0042	2.5092	2.5092	2.5852	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
157	-23.5	89.5	7.6179	2.3872	10.0051	SOCE	4.9011	7.415	10.0051	2.5139	2.5139	2.5901	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
158	-22.5	89.5	7.6309	2.3752	10.0061	SOCE	4.8934	7.4116	10.0061	2.5182	2.5182	2.5945	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
159	-21.5	89.5	7.6423	2.3651	10.0074	SOCE	4.887	7.409	10.0074	2.522	2.522	2.5984	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
160	-20.5	89.5	7.6557	2.3531	10.0088	SOCE	4.8795	7.4059	10.0088	2.5264	2.5264	2.6029	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
161	-19.5	89.5	7.6746	2.3359	10.0105	SOCE	4.8685	7.4011	10.0105	2.5326	2.5326	2.6094	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
162	-18.5	89.5	7.7293	2.2831	10.0125	SOCE	4.8338	7.3845	10.0125	2.5507	2.5507	2.628	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
