Numb	Lon	Lat	Hcc	Sed	Hc	Type	DLy1	DLy2	DLy3	TLy1	TLy2	TLy3	VP1	VP2	VP3	VS1	VS2	VS3	VPN	VSN	RHO1	RHO2	RHO3	RHON
18999	98.5	37.5	56.8438	0.2	57.0438	ORON	18.9584	37.7169	57.0438	18.7584	18.7584	19.3269	6.02698741	6.446999599	6.792321374	3.454212001	3.658206283	3.82911949	7.974627507	4.448764368	2.722470417	2.819834777	2.909721382	3.282012901
19000	99.5	37.5	56.0685	0.3	56.3685	SHLD	18.8026	37.3052	56.3685	18.5026	18.5026	19.0633	6.173159666	6.546049697	6.919012758	3.51897435	3.768293299	4.013133013	8.093349057	4.450716049	2.754880226	2.844706097	2.94492216	3.324430738
19001	100.5	37.5	55.2554	0.2	55.4554	SHLD	18.4343	36.6686	55.4554	18.2343	18.2343	18.7868	6.173159666	6.546049697	6.919012758	3.51897435	3.768293299	4.013133013	8.093349057	4.450716049	2.754880226	2.844706097	2.94492216	3.324430738
19002	101.5	37.5	54.1447	0.1	54.2447	SHLD	17.9678	35.8355	54.2447	17.8678	17.8678	18.4092	6.173159666	6.546049697	6.919012758	3.51897435	3.768293299	4.013133013	8.093349057	4.450716049	2.754880226	2.844706097	2.94492216	3.324430738
19003	102.5	37.5	51.0602	0.3	51.3602	SHLD	17.1499	33.9998	51.3602	16.8499	16.8499	17.3605	6.173159666	6.546049697	6.919012758	3.51897435	3.768293299	4.013133013	8.093349057	4.450716049	2.754880226	2.844706097	2.94492216	3.324430738
19004	103.5	37.5	47.7519	1	48.7519	EXCT	16.7581	32.5162	48.7519	15.7581	15.7581	16.2356	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19005	104.5	37.5	46.2386	1.7	47.9386	EXCT	16.9587	32.2175	47.9386	15.2587	15.2587	15.7211	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19006	105.5	37.5	45.4102	1.6	47.0102	EXCT	16.5854	31.5708	47.0102	14.9854	14.9854	15.4395	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19007	106.5	37.5	43.9015	2.5	46.4015	EXCT	16.9875	31.475	46.4015	14.4875	14.4875	14.9265	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19008	107.5	37.5	38.4806	7.2	45.6806	EXCT	19.8986	32.5972	45.6806	12.6986	12.6986	13.0834	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19009	108.5	37.5	38.3753	5.8	44.1753	EXCT	18.4638	31.1277	44.1753	12.6638	12.6638	13.0476	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19010	109.5	37.5	39.4878	4.2	43.6878	EXCT	17.231	30.262	43.6878	13.031	13.031	13.4259	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19011	110.5	37.5	40.811	2.8	43.611	EXCT	16.2676	29.7353	43.611	13.4676	13.4676	13.8757	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19012	111.5	37.5	42.7871	0.7	43.4871	EXCT	14.8198	28.9395	43.4871	14.1198	14.1198	14.5476	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19013	112.5	37.5	38.3294	2.5	40.8294	EXCT	15.1487	27.7974	40.8294	12.6487	12.6487	13.032	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19014	113.5	37.5	34.2767	2.5	36.7767	EXCT	13.8113	25.1226	36.7767	11.3113	11.3113	11.6541	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19015	114.5	37.5	33.5684	1.2	34.7684	EXCT	12.2776	23.3551	34.7684	11.0776	11.0776	11.4133	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19016	115.5	37.5	32.685	2.5	35.185	EXCT	13.2861	24.0721	35.185	10.7861	10.7861	11.1129	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19017	116.5	37.5	29.9539	2.3	32.2539	EXCT	12.1848	22.0696	32.2539	9.8848	9.8848	10.1843	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19018	117.5	37.5	29.2503	2	31.2503	EXCT	11.6526	21.3052	31.2503	9.6526	9.6526	9.9451	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19019	118.5	37.5	28.9898	2	30.9898	EXCT	11.5666	21.1332	30.9898	9.5666	9.5666	9.8565	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19020	119.5	37.5	29.009	2.5	31.509	COMA	12.073	21.6459	31.509	9.573	9.573	9.863	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19021	120.5	37.5	32.477	0.2	32.677	EXCT	10.9174	21.6348	32.677	10.7174	10.7174	11.0422	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19022	121.5	37.5	32.7728	0.3	33.0728	EXCT	11.115	21.93	33.0728	10.815	10.815	11.1427	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19023	122.5	37.5	32.0982	0.5	32.5982	COMA	11.0924	21.6848	32.5982	10.5924	10.5924	10.9134	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19024	123.5	37.5	31.044	1	32.044	COMA	11.2445	21.489	32.044	10.2445	10.2445	10.555	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19025	124.5	37.5	30.9248	0.7	31.6248	COMA	10.9052	21.1104	31.6248	10.2052	10.2052	10.5144	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19026	125.5	37.5	30.6178	0.5	31.1178	COMA	10.6039	20.7078	31.1178	10.1039	10.1039	10.4101	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19027	126.5	37.5	31.2384	0.01	31.2484	COMA	10.3187	20.6273	31.2484	10.3087	10.3087	10.621	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19028	127.5	37.5	31.746	0.01	31.756	EXCT	10.4862	20.9624	31.756	10.4762	10.4762	10.7936	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19029	128.5	37.5	33.3968	0.01	33.4068	EXCT	11.031	22.0519	33.4068	11.021	11.021	11.3549	6.022930001	6.375132233	6.757653375	3.40913683	3.652534983	3.831068228	8.009771127	4.371980676	2.721592906	2.802248086	2.900295863	3.29448233
19030	129.5	37.5	27.1361	0.8	27.9361	COMA	9.7549	18.7098	27.9361	8.9549	8.9549	9.2263	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19031	130.5	37.5	16.0515	0.8	16.8515	COMA	6.097	11.394	16.8515	5.297	5.297	5.4575	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19032	131.5	37.5	12.9793	1	13.9793	COMA	5.2832	9.5663	13.9793	4.2832	4.2832	4.413	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19033	132.5	37.5	14.1226	1	15.1226	COMA	5.6605	10.3209	15.1226	4.6605	4.6605	4.8017	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19034	133.5	37.5	16.9718	0.7	17.6718	COMA	6.3007	11.9014	17.6718	5.6007	5.6007	5.7704	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19035	134.5	37.5	14.1119	1	15.1119	COMA	5.6569	10.3138	15.1119	4.6569	4.6569	4.798	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19036	135.5	37.5	12.459	1.2	13.659	COMA	5.3115	9.4229	13.659	4.1115	4.1115	4.236	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19037	136.5	37.5	21.3241	0.5	21.8241	COMA	7.537	14.5739	21.8241	7.037	7.037	7.2502	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19038	137.5	37.5	26.2562	0.3	26.5562	COMA	8.9646	17.6291	26.5562	8.6646	8.6646	8.9271	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19039	138.5	37.5	26.5746	0.3	26.8746	COAR	9.0696	17.8392	26.8746	8.7696	8.7696	9.0354	6.042330411	6.593511022	6.881328999	3.441572978	3.7098064	3.812053498	7.929852941	4.541764706	2.725799435	2.856883632	2.934328209	3.266233802
19040	139.5	37.5	28.4388	0.2	28.6388	COAR	9.5848	18.9696	28.6388	9.3848	9.3848	9.6692	6.042330411	6.593511022	6.881328999	3.441572978	3.7098064	3.812053498	7.929852941	4.541764706	2.725799435	2.856883632	2.934328209	3.266233802
19041	140.5	37.5	28.0863	0.2	28.2863	COAR	9.4685	18.7369	28.2863	9.2685	9.2685	9.5493	6.042330411	6.593511022	6.881328999	3.441572978	3.7098064	3.812053498	7.929852941	4.541764706	2.725799435	2.856883632	2.934328209	3.266233802
19042	141.5	37.5	21.8431	2	23.8431	COMA	9.2082	16.4165	23.8431	7.2082	7.2082	7.4267	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19043	142.5	37.5	16.0342	0.8	16.8342	COMA	6.0913	11.3826	16.8342	5.2913	5.2913	5.4516	5.96806225	6.484286644	6.639610506	3.443892632	3.686430302	3.788103086	8.023200723	4.485503876	2.709842501	2.829111367	2.868872975	3.299266771
19044	143.5	37.5	11.651	0.465	12.116	SOCE	1.6301	3.9603	12.116	1.1651	2.3302	8.1557	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19045	144.5	37.5	10.727	0.231	10.958	SOCE	3.7709	7.3108	10.958	3.5399	3.5399	3.6472	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19046	145.5	37.5	9.1526	0.102	9.2546	SOCE	3.1224	6.1427	9.2546	3.0204	3.0204	3.1119	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19047	146.5	37.5	7.0865	0.281	7.3675	SOCE	2.6196	4.9581	7.3675	2.3386	2.3386	2.4094	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19048	147.5	37.5	6.5868	0.306	6.8928	SOCE	2.4796	4.6533	6.8928	2.1736	2.1736	2.2395	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19049	148.5	37.5	6.0166	0.507	6.5236	SOCE	2.4925	4.478	6.5236	1.9855	1.9855	2.0457	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19050	149.5	37.5	6.1975	0.264	6.4615	SOCE	2.3092	4.3544	6.4615	2.0452	2.0452	2.1072	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19051	150.5	37.5	6.5555	0.251	6.8065	SOCE	2.4143	4.5777	6.8065	2.1633	2.1633	2.2289	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19052	151.5	37.5	6.637	0.276	6.913	SOCE	2.4662	4.6564	6.913	2.1902	2.1902	2.2566	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19053	152.5	37.5	6.5844	0.436	7.0204	SOCE	2.6089	4.7817	7.0204	2.1729	2.1729	2.2387	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19054	153.5	37.5	6.7074	0.384	7.0914	SOCE	2.5974	4.8109	7.0914	2.2134	2.2134	2.2805	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19055	154.5	37.5	6.6528	0.396	7.0488	SOCE	2.5914	4.7868	7.0488	2.1954	2.1954	2.2619	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19056	155.5	37.5	6.5517	0.46	7.0117	SOCE	2.6221	4.7841	7.0117	2.1621	2.1621	2.2276	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19057	156.5	37.5	6.5299	0.489	7.0189	SOCE	2.6439	4.7987	7.0189	2.1549	2.1549	2.2202	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19058	157.5	37.5	6.5293	0.505	7.0343	SOCE	2.6597	4.8143	7.0343	2.1547	2.1547	2.2199	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19059	158.5	37.5	6.6805	0.378	7.0585	SOCE	2.5826	4.7871	7.0585	2.2046	2.2046	2.2714	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19060	159.5	37.5	6.6355	0.437	7.0725	LIPS	1.1005	2.4276	7.0725	0.6635	1.3271	4.6448	5.671926941	6.254404566	6.917283871	3.204478498	3.533561902	3.908069984	8.026683938	4.548666667	2.650064453	2.773570951	2.944433839	3.300509452
19061	160.5	37.5	6.6116	0.464	7.0756	LIPS	1.1252	2.4475	7.0756	0.6612	1.3223	4.6281	5.671926941	6.254404566	6.917283871	3.204478498	3.533561902	3.908069984	8.026683938	4.548666667	2.650064453	2.773570951	2.944433839	3.300509452
19062	161.5	37.5	6.6628	0.413	7.0758	LIPS	1.0793	2.4119	7.0758	0.6663	1.3326	4.664	5.671926941	6.254404566	6.917283871	3.204478498	3.533561902	3.908069984	8.026683938	4.548666667	2.650064453	2.773570951	2.944433839	3.300509452
19063	162.5	37.5	6.6835	0.393	7.0765	LIPS	1.0614	2.3981	7.0765	0.6684	1.3367	4.6785	5.671926941	6.254404566	6.917283871	3.204478498	3.533561902	3.908069984	8.026683938	4.548666667	2.650064453	2.773570951	2.944433839	3.300509452
19064	163.5	37.5	6.7038	0.374	7.0778	LIPS	1.0444	2.3852	7.0778	0.6704	1.3408	4.6927	5.671926941	6.254404566	6.917283871	3.204478498	3.533561902	3.908069984	8.026683938	4.548666667	2.650064453	2.773570951	2.944433839	3.300509452
19065	164.5	37.5	6.7245	0.353	7.0775	SOCE	2.5721	4.7912	7.0775	2.2191	2.2191	2.2863	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19066	165.5	37.5	6.8342	0.236	7.0702	SOCE	2.4913	4.7466	7.0702	2.2553	2.2553	2.3236	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19067	166.5	37.5	6.8378	0.221	7.0588	SOCE	2.4775	4.7339	7.0588	2.2565	2.2565	2.3248	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19068	167.5	37.5	5.9971	1.046	7.0431	SOCE	3.025	5.0041	7.0431	1.979	1.979	2.039	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19069	168.5	37.5	6.7632	0.284	7.0472	SOCE	2.5158	4.7477	7.0472	2.2318	2.2318	2.2995	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19070	169.5	37.5	6.9162	0.288	7.2042	SOCE	2.5703	4.8527	7.2042	2.2823	2.2823	2.3515	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19071	170.5	37.5	6.8185	0.191	7.0095	SOCE	2.4411	4.6912	7.0095	2.2501	2.2501	2.3183	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19072	171.5	37.5	6.6206	0.102	6.7226	SOCE	2.2868	4.4716	6.7226	2.1848	2.1848	2.251	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19073	172.5	37.5	6.4069	0.204	6.6109	SOCE	2.3183	4.4325	6.6109	2.1143	2.1143	2.1783	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19074	173.5	37.5	6.6014	0.208	6.8094	SOCE	2.3865	4.565	6.8094	2.1785	2.1785	2.2445	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19075	174.5	37.5	6.7891	0.212	7.0011	SOCE	2.4524	4.6928	7.0011	2.2404	2.2404	2.3083	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19076	175.5	37.5	6.7992	0.227	7.0262	SOCE	2.4707	4.7145	7.0262	2.2437	2.2437	2.3117	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19077	176.5	37.5	6.7934	0.225	7.0184	LIPS	0.9043	2.263	7.0184	0.6793	1.3587	4.7554	5.671926941	6.254404566	6.917283871	3.204478498	3.533561902	3.908069984	8.026683938	4.548666667	2.650064453	2.773570951	2.944433839	3.300509452
19078	177.5	37.5	6.7768	0.205	6.9818	SOCE	2.4413	4.6777	6.9818	2.2363	2.2363	2.3041	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19079	178.5	37.5	6.707	0.189	6.896	SOCE	2.4023	4.6156	6.896	2.2133	2.2133	2.2804	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19080	179.5	37.5	6.5884	0.167	6.7554	SOCE	2.3412	4.5153	6.7554	2.1742	2.1742	2.24	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19081	-179.5	36.5	6.5304	0.165	6.6954	SOCE	2.32	4.475	6.6954	2.155	2.155	2.2203	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19082	-178.5	36.5	6.6788	0.101	6.7798	SOCE	2.305	4.509	6.7798	2.204	2.204	2.2708	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19083	-177.5	36.5	6.8357	0.098	6.9337	SOCE	2.3538	4.6096	6.9337	2.2558	2.2558	2.3242	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19084	-176.5	36.5	6.9952	0.098	7.0932	SOCE	2.4064	4.7148	7.0932	2.3084	2.3084	2.3784	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19085	-175.5	36.5	7.0313	0.095	7.1263	SOCE	2.4153	4.7356	7.1263	2.3203	2.3203	2.3906	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19086	-174.5	36.5	7.0712	0.095	7.1662	SOCE	2.4285	4.762	7.1662	2.3335	2.3335	2.4042	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19087	-173.5	36.5	7.0944	0.095	7.1894	SOCE	2.4361	4.7773	7.1894	2.3411	2.3411	2.4121	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19088	-172.5	36.5	7.0879	0.096	7.1839	SOCE	2.435	4.774	7.1839	2.339	2.339	2.4099	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19089	-171.5	36.5	7.0554	0.096	7.1514	SOCE	2.4243	4.7526	7.1514	2.3283	2.3283	2.3988	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19090	-170.5	36.5	7.0109	0.096	7.1069	SOCE	2.4096	4.7232	7.1069	2.3136	2.3136	2.3837	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19091	-169.5	36.5	6.9649	0.095	7.0599	SOCE	2.3934	4.6918	7.0599	2.2984	2.2984	2.3681	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19092	-168.5	36.5	6.908	0.097	7.005	SOCE	2.3766	4.6563	7.005	2.2796	2.2796	2.3487	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19093	-167.5	36.5	6.9029	0.096	6.9989	SOCE	2.374	4.6519	6.9989	2.278	2.278	2.347	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19094	-166.5	36.5	6.9401	0.096	7.0361	SOCE	2.3862	4.6764	7.0361	2.2902	2.2902	2.3596	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19095	-165.5	36.5	6.9914	0.097	7.0884	SOCE	2.4042	4.7113	7.0884	2.3072	2.3072	2.3771	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19096	-164.5	36.5	7.0301	0.096	7.1261	SOCE	2.4159	4.7359	7.1261	2.3199	2.3199	2.3902	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19097	-163.5	36.5	7.0207	0.097	7.1177	SOCE	2.4138	4.7306	7.1177	2.3168	2.3168	2.387	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19098	-162.5	36.5	7.0063	0.097	7.1033	SOCE	2.4091	4.7211	7.1033	2.3121	2.3121	2.3821	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19099	-161.5	36.5	7.0039	0.098	7.1019	SOCE	2.4093	4.7206	7.1019	2.3113	2.3113	2.3813	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19100	-160.5	36.5	7.002	0.099	7.101	SOCE	2.4097	4.7203	7.101	2.3107	2.3107	2.3807	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19101	-159.5	36.5	6.9762	0.098	7.0742	SOCE	2.4002	4.7023	7.0742	2.3022	2.3022	2.3719	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19102	-158.5	36.5	6.8633	0.098	6.9613	SOCE	2.3629	4.6278	6.9613	2.2649	2.2649	2.3335	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19103	-157.5	36.5	6.7072	0.099	6.8062	SOCE	2.3124	4.5258	6.8062	2.2134	2.2134	2.2805	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
19104	-156.5	36.5	6.6913	0.098	6.7893	SOCE	2.3061	4.5143	6.7893	2.2081	2.2081	2.275	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
