Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,1.0666799833655503e+28,1.0665592648668065e+28,9.04181474515739e+25,1.049061825162157e+28,1.0845043517672585e+28,1000
Middle Crust,2.509482770798452e+27,2.5094483260397616e+27,3.3492938778975805e+25,2.443817766835249e+27,2.577023345860589e+27,1000
Lower Crust,5.175762989025247e+26,5.17631504687049e+26,1.903405966327865e+25,4.7856796021022144e+26,5.551639627613617e+26,1000
Mantle,3.284705419927222e+26,3.2844464608865584e+26,2.2669003191321498e+25,2.8272598781356022e+26,3.7508203367116656e+26,1000
Total in Each Cell,1.4022329445349201e+28,1.4024414441659594e+28,1.2265649145464932e+26,1.3771867156654652e+28,1.425849002278136e+28,1000
