Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,1.853730224783055e+29,1.8441006949797914e+29,8.445079941194315e+27,1.7141104612001544e+29,2.0436522356343293e+29,1000
Middle Crust Cell Counts,2.7903497782196005e+27,2.790978983035989e+27,1.5899562826595019e+25,2.761620517370543e+27,2.820735363393955e+27,1000
Lower Crust Cell Counts,2.086630991157964e+25,2.087073435646907e+25,5.069338280499993e+23,1.993739182091391e+25,2.19156143374642e+25,1000
Mantle Cell Counts,2.603466769843738e+22,4.1830882190751003e+21,2.034846919564514e+23,8.819226150526166e+20,9.650924008510109e+22,1000
Total in Each Cell,1.8818426460110437e+29,1.872037468362086e+29,8.445266508306741e+27,1.7423148799983665e+29,2.0716702265279608e+29,1000
