Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,2.140747490257234e+27,2.1408451360648187e+27,2.0991428490212044e+27,2.182169070405544e+27,2.1119694629492163e+25
Middle Crust,2.886507577124046e+25,2.888026366444686e+25,2.62298871828709e+25,3.1564133799844914e+25,1.351323586921659e+24
Lower Crust,0.0,0.0,0.0,0.0,0.0
Mantle,0.0,0.0,0.0,0.0,0.0
Total,2.1696125660284745e+27,2.169735118637979e+27,2.1275472070694747e+27,2.21180672146987e+27,2.113121296629767e+25
