Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,4.355264315304362e+27,4.3550730253201454e+27,4.2715497665698946e+27,4.4402704541459484e+27,4.299607998070045e+25
Middle Crust,2.736965121491584e+26,2.735796542181804e+26,2.577473543019898e+26,2.9070715397245476e+26,8.581358274682026e+24
Lower Crust,2.8549700838498022e+25,2.8473751971669117e+25,2.3086830314028746e+25,3.445301111822436e+25,2.9494128841413574e+24
Mantle,1.1895148367066654e+22,9.280314408409398e+20,4.436803701231584e+19,8.817962489376884e+22,2.1670941176019173e+22
Total,4.657522423440385e+27,4.6573582806060013e+27,4.570203719495395e+27,4.744532389694412e+27,4.3709691071340315e+25
