RTP,LAB,Curie,elevation,gradient,Moho,Magnetic,Ridge,Susceptibility,tectonicunit,Topo,Transform,Trench,Volcanos,YoungRift,VP1,VP2,VP3,VS1,VS2,VS3,lat,lon,is_land
-3.816873125,185.837,36.64829,,,39.99627,33.564156,2663,0.011300913,,439.83,3104,3307,394.2545,545.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-155,TRUE
-3.826940075,185.79816,36.647587,,,39.99606,51.04819,2663,0.011301013,,450.564,3105,3306,394.44342,546.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-154,TRUE
-3.83675465,185.76204,36.647015,,,39.995865,37.138687,2664,0.011301186,,458.0126,3106,3305,394.65073,546.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-153,TRUE
-3.846366475,185.7287,36.64657,,,39.99572,47.96667,2664,0.011301399,,459.05518,3106,3304,394.87653,546.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-152,TRUE
-3.855758125,185.6982,36.646255,,,39.9956,55.681442,2664,0.011301663,,465.53354,3107,3303,395.12115,547.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-151,TRUE
-3.8649047,185.67055,36.646072,,,39.995502,50.899967,2665,0.01130201,,489.5741,3108,3303,395.38403,547.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-150,TRUE
-3.87381955,185.64574,36.646023,,,39.995438,51.96553,2665,0.011302388,,538.2295,3108,3302,395.66504,547.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-149,TRUE
-3.8825283,185.62386,36.6461,,,39.995415,47.870113,2666,0.011302775,,568.5614,3109,3301,395.9645,548.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-148,TRUE
-3.89101365,185.60487,36.646305,,,39.995434,51.88079,2666,0.011303146,,552.3466,3110,3300,396.28226,548.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-147,TRUE
-3.899229775,185.58887,36.646637,,,39.995483,51.18888,2667,0.011303448,,535.87463,3111,3299,396.61832,549.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-146,TRUE
-3.90724935,185.5758,36.647095,,,39.995564,58.17154,2667,0.011303717,,570.20026,3112,3298,396.97208,549.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-145,TRUE
-3.91500035,185.56573,36.64767,,,39.9957,42.55672,2668,0.011303973,,610.0539,3112,3298,397.34393,550,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-144,TRUE
-3.92254225,185.55867,36.648373,,,39.99587,53.71228,2668,0.011304174,,608.59216,3113,3297,397.73383,550.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-143,TRUE
-3.9298551,185.55464,36.6492,,,39.996075,52.742477,2669,0.011304303,,585.52527,3114,3296,398.1413,550.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-142,TRUE
-3.93689885,185.55367,36.650146,,,39.996304,53.311584,2669,0.011304366,,562.0671,3115,3295,398.56625,551.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-141,TRUE
-3.943737725,185.55574,36.651215,,,39.99652,62.931908,2670,0.011304364,,566.5892,3116,3294,399.00867,552,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-140,TRUE
-3.950338675,185.56091,36.65241,,,39.996754,52.52596,2670,0.011304309,,620.3253,3116,3293,399.46844,552.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-139,TRUE
-3.956684575,185.56915,36.65372,,,39.997036,60.434513,2671,0.011304185,,671.95245,3117,3292,399.9455,553,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-138,TRUE
-3.962829425,185.58052,36.65516,,,39.99733,36.801083,2672,0.011304004,,654.096,3118,3291,400.43942,553.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-137,TRUE
-3.968707275,185.59499,36.65672,,,39.99762,33.276314,2672,0.01130377,,560.599,3119,3291,400.95013,554.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-136,TRUE
-3.97433235,185.61258,36.658398,,,39.99791,30.952833,2673,0.0113035,,480.5362,3120,3290,401.47723,554.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-135,TRUE
-3.9797322,185.63332,36.66019,,,39.998154,33.114258,2674,0.011303242,,453.41833,3121,3289,402.0207,555.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-134,TRUE
-3.98489895,185.65717,36.662094,,,39.998386,60.803658,2674,0.011302971,,440.49957,3122,3288,402.58038,556,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-133,TRUE
-3.989828375,185.68416,36.674255,,,39.998642,64.10909,2675,0.011302654,,409.6762,3122,3287,403.1558,556.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-132,TRUE
-3.994536375,185.71431,36.585026,,,39.998882,67.01989,2676,0.011302337,,377.69455,3123,3286,403.74698,557.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-131,TRUE
-3.99895665,185.7476,36.495693,,,39.999096,66.878784,2676,0.011302033,,365.31674,3124,3285,404.3534,558,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-130,TRUE
-4.0031424,185.78401,36.50774,,,39.99929,65.88717,2677,0.011301756,,351.47873,3125,3284,404.97534,558.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-129,TRUE
-4.0071411,185.82358,36.509705,,,39.999435,58.810696,2678,0.011301547,,312.42108,3126,3283,405.61203,559.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-128,TRUE
-4.010835275,185.86626,36.511707,,,39.99956,37.543964,2678,0.011301367,,256.33487,3127,3282,406.26294,560.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-127,TRUE
-4.014309225,185.91205,36.510956,,,39.999683,72.41823,2679,0.011301189,,220.14026,3128,3281,406.92844,560.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-126,TRUE
-4.01754545,185.96095,36.38599,,,39.999783,56.95219,2680,0.011301039,,200.7645,3129,3280,407.60797,561.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-125,TRUE
-4.020529475,186.01295,37.781364,,,39.999863,69.058044,2681,0.011300915,,177.66838,3130,3279,408.30115,562.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-124,TRUE
-4.0232619,186.06802,39.150097,,,39.99992,87.68813,2681,0.011300817,,159.7033,3131,3278,409.00787,563,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-123,TRUE
-4.0257753,186.12616,39.002506,,,39.999954,82.33051,2682,0.01130076,,114.804214,3132,3277,409.7276,563.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-122,TRUE
-4.02805065,186.18732,39.007202,,,39.99998,74.9179,2683,0.011300715,,48.895123,3133,3276,410.45978,564.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-121,TRUE
-4.0300376,186.25151,39.012325,,,39.999992,84.19974,2684,0.011300664,,58.061687,3134,3275,411.20477,565.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-120,TRUE
-4.031825425,186.31866,39.01793,,,40,103.83519,2685,0.011300614,,119.95467,3134,3274,411.96213,566.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-119,TRUE
-4.03337055,186.3888,39.02409,,,40,40.73656,2686,0.011300557,,153.65955,3135,3273,412.73083,566.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-118,TRUE
-4.034633125,186.46185,39.030895,,,40,95.42476,2686,0.011300498,,131.18065,3136,3272,413.51123,567.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-117,TRUE
-4.035688125,186.53778,39.038445,,,40,39.618114,2687,0.011300453,,81.91927,3137,3272,414.30283,568.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-116,TRUE
-4.0364752,186.6166,39.04686,,,40,116.03739,2688,0.011300406,,48.41469,3138,3271,415.105,569.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-115,TRUE
-4.0370353,186.69821,39.056297,,,40,103.782486,2689,0.011300346,,19.517307,3139,3270,415.91806,570.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-114,TRUE
-4.03733645,186.78261,39.066948,,,40,115.81682,2690,0.011300287,,5.357623,3140,3269,416.7411,571.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-113,TRUE
-4.03736575,186.86974,39.07906,,,40,56.048534,2691,0.011300232,,-11.247438,3140,3268,417.57397,572,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-112,TRUE
-4.03721475,186.95955,39.09292,,,40,106.1191,2692,0.01130019,,-82.82052,3140,3267,418.4161,572.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-111,TRUE
-4.036771975,187.052,39.10883,,,40,132.95567,2692,0.011300175,,-113.83165,3139,3266,419.2674,573.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-110,TRUE
-4.036095425,187.14703,39.129803,,,40,117.26006,2693,0.011300176,,-30.581686,3138,3265,420.12778,574.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-109,TRUE
-4.035220025,187.24461,39.125988,,,40,60.862366,2694,0.011300192,,3.6383991,3137,3264,420.99612,575.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-108,TRUE
-4.034060525,187.34467,39.12397,,,40,128.81287,2695,0.011300228,,-87.67428,3136,3263,421.8728,576.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-107,TRUE
-4.032643075,187.44713,39.15042,,,40,134.5432,2696,0.011300281,,-167.13518,3136,3262,422.75717,577.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-106,TRUE
-4.031011825,187.55194,39.175426,,,40,72.71258,2697,0.011300346,,-194.23943,3135,3261,423.64868,578.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-105,TRUE
-4.029145625,187.65906,39.201633,,,40,74.46176,2698,0.011300418,,-199.33644,3134,3260,424.54758,579.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-104,TRUE
-4.0270233,187.7684,39.228977,,,40,125.968414,2699,0.011300496,,-177.26877,3133,3259,425.4532,580,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-103,TRUE
-4.024675425,187.87993,39.257412,,,40,135.5269,2700,0.011300584,,-149.36209,3133,3258,426.36508,581,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-102,TRUE
-4.02206795,187.99352,39.286896,,,40,156.58922,2701,0.011300673,,-135.50525,3132,3257,427.28305,581.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-101,TRUE
-4.019241475,188.10916,39.317394,,,40,141.33977,2702,0.011300756,,-127.90854,3131,3256,428.20648,582.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-100,TRUE
-4.016169625,188.22675,39.348873,,,40,158.8369,2703,0.011300832,,-120.11885,3131,3255,429.13522,583.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-99,TRUE
-4.012850475,188.34622,39.381317,,,40,174.74283,2704,0.011300898,,-108.365585,3130,3254,430.06937,584.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-98,TRUE
-4.00929235,188.4675,39.414692,,,40,152.93146,2704,0.011300957,,-86.01234,3129,3253,431.0079,585.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-97,TRUE
-4.0055008,188.59052,39.448975,,,40,141.09308,2705,0.011301019,,-62.509563,3129,3252,431.95074,586.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-96,TRUE
-4.00149095,188.71518,39.484142,,,40,197.30655,2706,0.011301076,,-51.35896,3128,3252,432.89804,587.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-95,TRUE
-3.99723905,188.84143,39.505157,,,40,271.52435,2707,0.011301126,,-45.752293,3127,3251,433.8488,588.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-94,TRUE
-3.9927548,188.9692,39.690342,,,40,135.16899,2708,0.011301169,,-48.370445,3127,3250,434.80276,589.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-93,TRUE
-3.98805825,189.09836,39.74494,,,40,117.64911,2709,0.011301202,,-64.30405,3126,3249,435.75977,590.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-92,TRUE
-3.9831112,189.2289,39.622032,,,40,88.587425,2710,0.011301228,,-88.330894,3126,3248,436.71957,591.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-91,TRUE
-3.9779125,189.36069,39.86056,,,40,91.305405,2711,0.011301251,,-129.0205,3125,3247,437.68192,592.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-90,TRUE
-3.972532125,189.49367,40.08761,,,40,127.65708,2712,0.011301266,,-162.35132,3124,3246,438.6462,593.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-89,TRUE
-3.966890775,189.62772,40.095978,,,40,148.30966,2713,0.011301275,,-168.93048,3124,3245,439.61215,594.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-88,TRUE
-3.9610579,189.76276,40.127174,,,40,291.22025,2714,0.011301276,,-162.03952,3123,3245,440.57996,595.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-87,TRUE
-3.954992475,189.89868,40.15919,,,40,189.51501,2715,0.011301266,,-148.79247,3123,3244,441.54892,596.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-86,TRUE
-3.948657825,190.03542,40.191982,,,40,116.59581,2716,0.01130125,,-164.16074,3122,3243,442.51852,597.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-85,TRUE
-3.942140025,190.17284,40.225494,,,40,132.51099,2717,0.011301228,,-205.44063,3122,3242,443.48883,598.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-84,TRUE
-3.935404775,190.31087,40.25967,,,40,160.91177,2718,0.0113012,,-203.16841,3121,3241,444.45963,599.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-83,TRUE
