Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,3.576901721647948e+29,3.550983316893263e+29,4.799984518361631e+28,2.7440656405147594e+29,4.603850819049662e+29,1000
Middle Crust,1.4816392221826788e+28,1.2449159701655213e+28,8.095705587991987e+27,5.838887798249721e+27,3.6989011602662763e+28,1000
Lower Crust,1.239895090471986e+27,5.7235427463481845e+26,2.237591178749442e+27,1.5107897516213607e+26,8.082555132479655e+27,1000
Mantle,1.4065770133229814e+24,4.494813063849776e+20,3.1485708734629554e+25,2.1941839709308714e+17,7.975861844020247e+23,1000
Total in Each Cell,3.737478660541069e+29,3.701739217639326e+29,5.112084145326104e+28,2.857441134312515e+29,4.834573360975722e+29,1000
