Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,2.2504303202686602e+29,2.225409065424179e+29,2.7632233606514616e+28,1.746725086853713e+29,2.8521042418019196e+29,1000
Middle Crust,2.025483969135775e+27,1.5344187967895999e+27,1.5353790801458203e+27,5.8286724226388334e+26,6.154305409253319e+27,1000
Lower Crust,0.0,0.0,0.0,0.0,0.0,1000
Mantle,0.0,0.0,0.0,0.0,0.0,1000
Total in Each Cell,2.2706851599600178e+29,2.2443570311409606e+29,2.794413640797465e+28,1.7635755615535474e+29,2.8670671351569082e+29,1000
