no. of analyses,Year,Lat oN,Long oE,Min. Depth (mbls.),Max. Depth (mbls.),Depth,cellsPer_rounded,cellsPer,S.D. (cells/gram or cells/mL),MethodTC,MethodDescription,MethodCM,T (oC),pH,Eh,Salinity (M),Ionic Strength (M),SOC  (ppm),DOC (ppm),NH4 or N (ppm),NO3 (ppm),porosity (%),conductivity (m/sec),Biomass Correlation?,Most Abundance Isolates or Phyla,gas concentrations,Sample_Type,Simplified_Rock_Type,rock type,Formation,Formation age,Citation,Na (M),Cl (M),Ca (M),Unnamed: 36,TDS ppm,meanHF,medianHF,mast,tcon,z85med,z122med,z85mean,z122mean,rechargeFull,rechargeType,rechargeVolume,crustTypeCompleteInfo,crustTypeMin1,crustType,crustTypeFull,crustScheme2,combined_cv,combined_cr_icefull,combined_cr,rechargeShort,crust,lat_grid,lon_grid,gradient
1,1983.0,34.7003,-96.4319,,,3.0,3400000.0,3400000.0,2.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,5.0,6800000.0,6800000.0,4.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,1.2,9800000.0,9800000.0,1.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,"1,200",,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,3.0,3700000.0,3700000.0,1.10E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,5.0,3400000.0,3400000.0,1.10E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,1.2,6800000.0,6800000.0,9.00E+05,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,"1,200",,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,3.0,4600000.0,4600000.0,3.40E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,5.0,4800000.0,4800000.0,1.90E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,0.2,1000000000.0,1000000000.0,,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,0.4,50000000.0,50000000.0,,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
