Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,1.8883674664093961e+28,1.8884088771598996e+28,1.1794556905877884e+26,1.8651421622568193e+28,1.9117025242215334e+28,1000
Middle Crust Cell Counts,2.7903497782196005e+27,2.790978983035989e+27,1.5899562826595019e+25,2.761620517370543e+27,2.820735363393955e+27,1000
Lower Crust Cell Counts,2.086630991157964e+25,2.087073435646907e+25,5.069338280499993e+23,1.993739182091391e+25,2.19156143374642e+25,1000
Mantle Cell Counts,3.788553188514846e+23,1.780808606384954e+23,5.887219051161241e+23,4.528846396532159e+22,2.2423519319382908e+24,1000
Total in Each Cell,2.1695269607544e+28,2.169365225168105e+28,1.1819174561909188e+26,2.1464292686552207e+28,2.1924550492381303e+28,1000
