Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,1.852587938342607e+29,1.843479746102553e+29,8.328621821139636e+27,1.7135393057057078e+29,2.0417888822060828e+29,1000
Middle Crust Cell Counts,6.731295384277687e+26,6.729933301304478e+26,7.197453674483483e+24,6.588902097777713e+26,6.87304913538802e+26,1000
Lower Crust Cell Counts,2.7351985317647697e+24,2.732222077705095e+24,1.3949065489887016e+23,2.4739424486184886e+24,3.0132806008348747e+24,1000
Mantle Cell Counts,9.37217060122883e+17,909329395326982.5,1.2879703329581072e+19,443618585571.9356,3.0028826071406894e+18,1000
Total in Each Cell,1.8593465857215746e+29,1.850140340943355e+29,8.328825424517789e+27,1.720290123612849e+29,2.048498511081684e+29,1000
