Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust,4.2561894333316956e+29,4.1966727596924635e+29,6.074190978754872e+28,3.217351047529317e+29,5.612202629825078e+29,1000
Middle Crust,5.386779951486323e+28,5.16376219135324e+28,1.6225684623576108e+28,2.967559078502421e+28,9.266472068502963e+28,1000
Lower Crust,8.973309050398151e+27,6.163689415466e+27,8.313180171584909e+27,2.4259108577209473e+27,3.2819867887462207e+28,1000
Mantle,4.2315744924256305e+27,1.718622128048553e+27,9.378830846405464e+27,4.035493599604043e+26,2.6593149775517462e+28,1000
Total in Each Cell,4.926916263908566e+29,4.8505508068204004e+29,7.495865630564716e+28,3.659203021641565e+29,6.49650660494232e+29,1000
