Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,7.647970613480818e+27,7.64809339920507e+27,4.186020676834033e+25,7.566589999852352e+27,7.729111389530281e+27,1000
Middle Crust Cell Counts,7.10269355457579e+25,7.1071515409999424e+25,1.0746411052740174e+24,6.874442021546697e+25,7.3021701398381145e+25,1000
Lower Crust Cell Counts,0.0,0.0,0.0,0.0,0.0,1000
Mantle Cell Counts,0.0,0.0,0.0,0.0,0.0,1000
Total in Each Cell,7.718997549026577e+27,7.718727472552586e+27,4.184398621837522e+25,7.637909087634507e+27,7.800065123601398e+27,1000
