Layer,Mean,Median,2.5%,97.5%,Std
Upper Crust,2.118788179990985e+31,2.119849656526373e+31,1.9487464356024046e+31,2.282355799961688e+31,8.670987370637544e+29
Middle Crust,2.8490153070687595e+29,2.817842038425646e+29,1.7149718048682387e+29,4.186039558355352e+29,6.1407399924317965e+28
Lower Crust,0.0,0.0,0.0,0.0,0.0
Mantle,0.0,0.0,0.0,0.0,0.0
Total,2.1472783330616727e+31,2.1483290184970264e+31,1.9795423222815994e+31,2.318022960962992e+31,8.726208105703058e+29
