Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%,N_draws
Upper Crust Cell Counts,1.7981923219778944e+29,1.7908943988213377e+29,7.939694305451065e+27,1.664472884754895e+29,1.97791019112944e+29,1000
Middle Crust Cell Counts,7.10269355457579e+25,7.1071515409999424e+25,1.0746411052740174e+24,6.874442021546697e+25,7.3021701398381145e+25,1000
Lower Crust Cell Counts,0.0,0.0,0.0,0.0,0.0,1000
Mantle Cell Counts,0.0,0.0,0.0,0.0,0.0,1000
Total in Each Cell,1.7989025913333518e+29,1.7915926293860363e+29,7.939686222446351e+27,1.665198256562359e+29,1.9786120463811693e+29,1000
